group,condition,prime,target,primetype
1,related-TL-internal,neevr,ALWAYS,related
2,related-TL-final,nemer,ALWAYS,related
3,unrelated-TL-internal,nevre,ALWAYS,unrelated
4,unrelated-TL-final,nevem,ALWAYS,unrelated
2,related-TL-internal,friut,APPLE,related
2,related-TL-final,freit,APPLE,related
2,unrelated-TL-internal,fruti,APPLE,unrelated
2,unrelated-TL-final,fruil,APPLE,unrelated
3,related-TL-internal,macrh,APRIL,related
3,related-TL-final,manch,APRIL,related
3,unrelated-TL-internal,marhc,APRIL,unrelated
3,unrelated-TL-final,maroh,APRIL,unrelated
4,related-TL-internal,unlce,AUNT,related
4,related-TL-final,unvle,AUNT,related
4,unrelated-TL-internal,uncel,AUNT,unrelated
4,unrelated-TL-final,uncte,AUNT,unrelated
5,related-TL-internal,raost,BEEF,related
5,related-TL-final,roant,BEEF,related
5,unrelated-TL-internal,roats,BEEF,unrelated
5,unrelated-TL-final,roask,BEEF,unrelated
6,related-TL-internal,abvoe,BELOW,related
6,related-TL-final,alove,BELOW,related
6,unrelated-TL-internal,aboev,BELOW,unrelated
6,unrelated-TL-final,abovs,BELOW,unrelated
7,related-TL-internal,roibn,BIRD,related
7,related-TL-final,rofin,BIRD,related
7,unrelated-TL-internal,robni,BIRD,unrelated
7,unrelated-TL-final,roban,BIRD,unrelated
8,related-TL-internal,felsh,BLOOD,related
8,related-TL-final,flosh,BLOOD,related
8,unrelated-TL-internal,flehs,BLOOD,unrelated
8,unrelated-TL-final,flest,BLOOD,unrelated
9,related-TL-internal,skrit,BLOUSE,related
9,related-TL-final,skart,BLOUSE,related
9,unrelated-TL-internal,skitr,BLOUSE,unrelated
9,unrelated-TL-final,skist,BLOUSE,unrelated
10,related-TL-internal,sutdy,BOOKS,related
10,related-TL-final,stady,BOOKS,related
10,unrelated-TL-internal,stuyd,BOOKS,unrelated
10,unrelated-TL-final,stuky,BOOKS,unrelated
11,related-TL-internal,huose,BRICK,related
11,related-TL-final,houge,BRICK,related
11,unrelated-TL-internal,houes,BRICK,unrelated
11,unrelated-TL-final,houne,BRICK,unrelated
12,related-TL-internal,crary,BRING,related
12,related-TL-final,cargy,BRING,related
12,unrelated-TL-internal,caryr,BRING,unrelated
12,unrelated-TL-final,carsy,BRING,unrelated
13,related-TL-internal,hlils,BUMPS,related
13,related-TL-final,holls,BUMPS,related
13,unrelated-TL-internal,hilsl,BUMPS,unrelated
13,unrelated-TL-final,hille,BUMPS,unrelated
14,related-TL-internal,braed,BUTTER,related
14,related-TL-final,breid,BUTTER,related
14,unrelated-TL-internal,breda,BUTTER,unrelated
14,unrelated-TL-final,breal,BUTTER,unrelated
15,related-TL-internal,jials,CELLS,related
15,related-TL-final,jaips,CELLS,related
15,unrelated-TL-internal,jaisl,CELLS,unrelated
15,unrelated-TL-final,jaits,CELLS,unrelated
16,related-TL-internal,fruad,CHEAT,related
16,related-TL-final,frald,CHEAT,related
16,unrelated-TL-internal,fradu,CHEAT,unrelated
16,unrelated-TL-final,fraod,CHEAT,unrelated
17,related-TL-internal,mienr,COAL,related
17,related-TL-final,miver,COAL,related
17,unrelated-TL-internal,minre,COAL,unrelated
17,unrelated-TL-final,minen,COAL,unrelated
18,related-TL-internal,jugde,COURT,related
18,related-TL-final,judpe,COURT,related
18,unrelated-TL-internal,judeg,COURT,unrelated
18,unrelated-TL-final,judpe,COURT,unrelated
19,related-TL-internal,rievr,CREEK,related
19,related-TL-final,ruver,CREEK,related
19,unrelated-TL-internal,rivre,CREEK,unrelated
19,unrelated-TL-final,rives,CREEK,unrelated
20,related-TL-internal,tihef,CROOK,related
20,related-TL-final,thirf,CROOK,related
20,unrelated-TL-internal,thife,CROOK,unrelated
20,unrelated-TL-final,thiaf,CROOK,unrelated
21,related-TL-internal,faecs,CROWD,related
21,related-TL-final,fapes,CROWD,related
21,unrelated-TL-internal,facse,CROWD,unrelated
21,unrelated-TL-final,facen,CROWD,unrelated
22,related-TL-internal,faatl,DEATH,related
22,related-TL-final,fatil,DEATH,related
22,unrelated-TL-internal,fatla,DEATH,unrelated
22,unrelated-TL-final,fatak,DEATH,unrelated
23,related-TL-internal,agnel,DEVIL,related
23,related-TL-final,antel,DEVIL,related
23,unrelated-TL-internal,angle,DEVIL,unrelated
23,unrelated-TL-final,angol,DEVIL,unrelated
24,related-TL-internal,claen,DIRTY,related
24,related-TL-final,chean,DIRTY,related
24,unrelated-TL-internal,clena,DIRTY,unrelated
24,unrelated-TL-final,cleam,DIRTY,unrelated
25,related-TL-internal,nusre,DOCTOR,related
25,related-TL-final,nunse,DOCTOR,related
25,unrelated-TL-internal,nures,DOCTOR,unrelated
25,unrelated-TL-final,nurss,DOCTOR,unrelated
26,related-TL-internal,awkae,DREAM,related
26,related-TL-final,awane,DREAM,related
26,unrelated-TL-internal,awaek,DREAM,unrelated
26,unrelated-TL-final,awaks,DREAM,unrelated
27,related-TL-internal,litfs,DROPS,related
27,related-TL-final,lirts,DROPS,related
27,unrelated-TL-internal,lifst,DROPS,unrelated
27,unrelated-TL-final,lifte,DROPS,unrelated
28,related-TL-internal,soebr,DRUNK,related
28,related-TL-final,siber,DRUNK,related
28,unrelated-TL-internal,sobre,DRUNK,unrelated
28,unrelated-TL-final,sobir,DRUNK,unrelated
29,related-TL-internal,baocn,EGGS,related
29,related-TL-final,bamon,EGGS,related
29,unrelated-TL-internal,bacno,EGGS,unrelated
29,unrelated-TL-final,bacos,EGGS,unrelated
30,related-TL-internal,kinfe,FORK,related
30,related-TL-final,knike,FORK,related
30,unrelated-TL-internal,knief,FORK,unrelated
30,unrelated-TL-final,knike,FORK,unrelated
31,related-TL-internal,emtpy,FULL,related
31,related-TL-final,empky,FULL,related
31,unrelated-TL-internal,empyt,FULL,unrelated
31,unrelated-TL-final,empky,FULL,unrelated
32,related-TL-internal,palys,GAMES,related
32,related-TL-final,pluys,GAMES,related
32,unrelated-TL-internal,plasy,GAMES,unrelated
32,unrelated-TL-final,plags,GAMES,unrelated
33,related-TL-internal,slels,GOODS,related
33,related-TL-final,salls,GOODS,related
33,unrelated-TL-internal,selsl,GOODS,unrelated
33,unrelated-TL-final,selks,GOODS,unrelated
34,related-TL-internal,caost,GUARD,related
34,related-TL-final,coost,GUARD,related
34,unrelated-TL-internal,coats,GUARD,unrelated
34,unrelated-TL-final,coant,GUARD,unrelated
35,related-TL-internal,culry,HAIR,related
35,related-TL-final,cusly,HAIR,related
35,unrelated-TL-internal,curyl,HAIR,unrelated
35,unrelated-TL-final,curky,HAIR,unrelated
36,related-TL-internal,golve,HAND,related
36,related-TL-final,glone,HAND,related
36,unrelated-TL-internal,gloev,HAND,unrelated
36,unrelated-TL-final,glovs,HAND,unrelated
37,related-TL-internal,loevs,HATES,related
37,related-TL-final,lovos,HATES,related
37,unrelated-TL-internal,lovse,HATES,unrelated
37,unrelated-TL-final,lovis,HATES,unrelated
38,related-TL-internal,sipce,HERBS,related
38,related-TL-final,skice,HERBS,related
38,unrelated-TL-internal,spiec,HERBS,unrelated
38,unrelated-TL-final,spime,HERBS,unrelated
39,related-TL-internal,muont,HORSE,related
39,related-TL-final,moult,HORSE,related
39,unrelated-TL-internal,moutn,HORSE,unrelated
39,unrelated-TL-final,mounk,HORSE,unrelated
40,related-TL-internal,caeml,HUMP,related
40,related-TL-final,cawel,HUMP,related
40,unrelated-TL-internal,camle,HUMP,unrelated
40,unrelated-TL-final,camek,HUMP,unrelated
41,related-TL-internal,paerl,JEWEL,related
41,related-TL-final,peirl,JEWEL,related
41,unrelated-TL-internal,pealr,JEWEL,unrelated
41,unrelated-TL-final,peard,JEWEL,unrelated
42,related-TL-internal,roayl,KINGS,related
42,related-TL-final,ropal,KINGS,related
42,unrelated-TL-internal,royla,KINGS,unrelated
42,unrelated-TL-final,royat,KINGS,unrelated
43,related-TL-internal,ealry,LATE,related
43,related-TL-final,eanly,LATE,related
43,unrelated-TL-internal,earyl,LATE,unrelated
43,unrelated-TL-final,earty,LATE,unrelated
44,related-TL-internal,sener,LAUGH,related
44,related-TL-final,skeer,LAUGH,related
44,unrelated-TL-internal,snere,LAUGH,unrelated
44,unrelated-TL-final,sneor,LAUGH,unrelated
45,related-TL-internal,taech,LEARN,related
45,related-TL-final,toach,LEARN,related
45,unrelated-TL-internal,teahc,LEARN,unrelated
45,unrelated-TL-final,teash,LEARN,unrelated
46,related-TL-internal,hevay,LIGHT,related
46,related-TL-final,heamy,LIGHT,related
46,unrelated-TL-internal,heayv,LIGHT,unrelated
46,unrelated-TL-final,heamy,LIGHT,unrelated
47,related-TL-internal,tiegr,LION,related
47,related-TL-final,tiper,LION,related
47,unrelated-TL-internal,tigre,LION,unrelated
47,unrelated-TL-final,tigem,LION,unrelated
48,related-TL-internal,shrot,LONG,related
48,related-TL-final,shart,LONG,related
48,unrelated-TL-internal,shotr,LONG,unrelated
48,unrelated-TL-final,shork,LONG,unrelated
49,related-TL-internal,tihgt,LOOSE,related
49,related-TL-final,teght,LOOSE,related
49,unrelated-TL-internal,tigth,LOOSE,unrelated
49,unrelated-TL-final,tigkt,LOOSE,unrelated
50,related-TL-internal,mabye,MIGHT,related
50,related-TL-final,marbe,MIGHT,related
50,unrelated-TL-internal,mayeb,MIGHT,unrelated
50,unrelated-TL-final,maybs,MIGHT,unrelated
51,related-TL-internal,maojr,MINOR,related
51,related-TL-final,majar,MINOR,related
51,unrelated-TL-internal,majro,MINOR,unrelated
51,unrelated-TL-final,majos,MINOR,unrelated
52,related-TL-internal,cions,MONEY,related
52,related-TL-final,clins,MONEY,related
52,unrelated-TL-internal,coisn,MONEY,unrelated
52,unrelated-TL-final,coirs,MONEY,unrelated
53,related-TL-internal,teteh,MOUTH,related
53,related-TL-final,telth,MOUTH,related
53,unrelated-TL-internal,teeht,MOUTH,unrelated
53,unrelated-TL-final,teesh,MOUTH,unrelated
54,related-TL-internal,uhser,MOVIE,related
54,related-TL-final,uther,MOVIE,related
54,unrelated-TL-internal,ushre,MOVIE,unrelated
54,unrelated-TL-final,ushen,MOVIE,unrelated
55,related-TL-internal,bahte,NAKED,related
55,related-TL-final,buth,NAKED,related
55,unrelated-TL-internal,bateh,NAKED,unrelated
55,unrelated-TL-final,batke,NAKED,unrelated
56,related-TL-internal,scraf,NECK,related
56,related-TL-final,scerf,NECK,related
56,unrelated-TL-internal,scafr,NECK,unrelated
56,unrelated-TL-final,scanf,NECK,unrelated
57,related-TL-internal,geren,OLIVE,related
57,related-TL-final,grenn,OLIVE,related
57,unrelated-TL-internal,grene,OLIVE,unrelated
57,unrelated-TL-final,greem,OLIVE,unrelated
58,related-TL-internal,spary,PAINT,related
58,related-TL-final,sproy,PAINT,related
58,unrelated-TL-internal,sprya,PAINT,unrelated
58,unrelated-TL-final,sprey,PAINT,unrelated
59,related-TL-internal,whloe,PART,related
59,related-TL-final,wiole,PART,related
59,unrelated-TL-internal,whoel,PART,unrelated
59,unrelated-TL-final,whols,PART,unrelated
60,related-TL-internal,paepr,PENCIL,related
60,related-TL-final,puper,PENCIL,related
60,unrelated-TL-internal,papre,PENCIL,unrelated
60,unrelated-TL-final,papec,PENCIL,unrelated
61,related-TL-internal,pliot,PLANE,related
61,related-TL-final,pidot,PLANE,related
61,unrelated-TL-internal,pilto,PLANE,unrelated
61,unrelated-TL-final,pilok,PLANE,unrelated
62,related-TL-internal,baord,PLANK,related
62,related-TL-final,boird,PLANK,related
62,unrelated-TL-internal,boadr,PLANK,unrelated
62,unrelated-TL-final,boart,PLANK,unrelated
63,related-TL-internal,idaes,PLANS,related
63,related-TL-final,idoas,PLANS,related
63,unrelated-TL-internal,idesa,PLANS,unrelated
63,unrelated-TL-final,idean,PLANS,unrelated
64,related-TL-internal,paech,PLUM,related
64,related-TL-final,peash,PLUM,related
64,unrelated-TL-internal,peahc,PLUM,unrelated
64,unrelated-TL-final,peash,PLUM,unrelated
65,related-TL-internal,snogs,POEMS,related
65,related-TL-final,sengs,POEMS,related
65,unrelated-TL-internal,sonsg,POEMS,unrelated
65,unrelated-TL-final,sonps,POEMS,unrelated
66,related-TL-internal,laeks,PONDS,related
66,related-TL-final,lokes,PONDS,related
66,unrelated-TL-internal,lakse,PONDS,unrelated
66,unrelated-TL-final,lakem,PONDS,unrelated
67,related-TL-internal,loewr,RAISE,related
67,related-TL-final,liwer,RAISE,related
67,unrelated-TL-internal,lowre,RAISE,unrelated
67,unrelated-TL-final,lowem,RAISE,unrelated
68,related-TL-internal,shvae,RAZOR,related
68,related-TL-final,shawe,RAZOR,related
